order_id,product,quantity_ordered,price_each,order_date,month,total_sales,total_quantity_sold_all_months,quantity_sold_that_month,quantity_sold_last_month,product_encoded,short_product
143600,iPhone,1,700.0,2019-01-01 14:38:00,January,700.0,6732,372,895,18,iPhone
142505,USB-C Charging Cable,1,11.95,2019-01-01 14:41:00,January,11.95,23555,1265,3200,15,USB-C Char
145475,Wired Headphones,1,11.99,2019-01-01 14:45:00,January,11.99,20201,1057,2714,17,Wired Head
142917,Lightning Charging Cable,2,14.95,2019-01-01 14:45:00,January,29.9,22841,1132,3052,12,Lightning 
147435,Wired Headphones,2,11.99,2019-01-01 14:48:00,January,23.98,20201,1057,2714,17,Wired Head
148423,USB-C Charging Cable,1,11.95,2019-01-01 14:51:00,January,11.95,23555,1265,3200,15,USB-C Char
146085,iPhone,1,700.0,2019-01-01 14:52:00,January,700.0,6732,372,895,18,iPhone
147763,AAA Batteries (4-pack),1,2.99,2019-01-01 14:55:00,January,2.99,30487,1562,4188,5,AAA Batter
141855,ThinkPad Laptop,1,999.99,2019-01-01 15:01:00,January,999.99,4054,214,531,14,ThinkPad L
149163,Lightning Charging Cable,1,14.95,2019-01-01 15:25:00,January,14.95,22841,1132,3052,12,Lightning 
148829,Bose SoundSport Headphones,1,99.99,2019-01-01 15:25:00,January,99.99,13236,644,1807,7,Bose Sound
148356,AAA Batteries (4-pack),1,2.99,2019-01-01 15:27:00,January,2.99,30487,1562,4188,5,AAA Batter
144301,Flatscreen TV,1,300.0,2019-01-01 15:27:00,January,300.0,4724,240,657,8,Flatscreen
150208,Bose SoundSport Headphones,1,99.99,2019-01-01 15:28:00,January,99.99,13236,644,1807,7,Bose Sound
148658,USB-C Charging Cable,1,11.95,2019-01-01 15:30:00,January,11.95,23555,1265,3200,15,USB-C Char
146364,AAA Batteries (4-pack),1,2.99,2019-01-01 15:32:00,January,2.99,30487,1562,4188,5,AAA Batter
144446,Apple Airpods Headphones,1,150.0,2019-01-01 15:33:00,January,150.0,15383,798,2057,6,Apple Airp
143497,Bose SoundSport Headphones,1,99.99,2019-01-01 15:39:00,January,99.99,13236,644,1807,7,Bose Sound
147980,34in Ultrawide Monitor,1,379.99,2019-01-01 15:41:00,January,379.99,6076,305,842,3,34in Ultra
141877,USB-C Charging Cable,1,11.95,2019-01-01 15:49:00,January,11.95,23555,1265,3200,15,USB-C Char
141329,USB-C Charging Cable,1,11.95,2019-01-01 16:01:00,January,11.95,23555,1265,3200,15,USB-C Char
144596,34in Ultrawide Monitor,1,379.99,2019-01-01 16:05:00,January,379.99,6076,305,842,3,34in Ultra
141407,Apple Airpods Headphones,1,150.0,2019-01-01 16:06:00,January,150.0,15383,798,2057,6,Apple Airp
148767,Lightning Charging Cable,1,14.95,2019-01-01 16:09:00,January,14.95,22841,1132,3052,12,Lightning 
146910,Lightning Charging Cable,1,14.95,2019-01-01 16:11:00,January,14.95,22841,1132,3052,12,Lightning 
144143,Lightning Charging Cable,1,14.95,2019-01-01 16:16:00,January,14.95,22841,1132,3052,12,Lightning 
145604,Google Phone,1,600.0,2019-01-01 16:16:00,January,600.0,5440,312,706,9,Google Pho
142303,USB-C Charging Cable,1,11.95,2019-01-01 16:23:00,January,11.95,23555,1265,3200,15,USB-C Char
143412,USB-C Charging Cable,1,11.95,2019-01-01 16:23:00,January,11.95,23555,1265,3200,15,USB-C Char
145122,ThinkPad Laptop,1,999.99,2019-01-01 16:26:00,January,999.99,4054,214,531,14,ThinkPad L
149940,Lightning Charging Cable,1,14.95,2019-01-01 16:31:00,January,14.95,22841,1132,3052,12,Lightning 
150088,34in Ultrawide Monitor,1,379.99,2019-01-01 16:35:00,January,379.99,6076,305,842,3,34in Ultra
144660,USB-C Charging Cable,1,11.95,2019-01-01 16:36:00,January,11.95,23555,1265,3200,15,USB-C Char
150175,34in Ultrawide Monitor,1,379.99,2019-01-01 16:44:00,January,379.99,6076,305,842,3,34in Ultra
145112,34in Ultrawide Monitor,1,379.99,2019-01-01 16:44:00,January,379.99,6076,305,842,3,34in Ultra
146187,AA Batteries (4-pack),1,3.84,2019-01-01 16:45:00,January,3.84,27148,1398,3672,4,AA Batteri
143340,Lightning Charging Cable,1,14.95,2019-01-01 16:46:00,January,14.95,22841,1132,3052,12,Lightning 
143506,AA Batteries (4-pack),1,3.84,2019-01-01 16:50:00,January,3.84,27148,1398,3672,4,AA Batteri
143593,AAA Batteries (4-pack),1,2.99,2019-01-01 16:52:00,January,2.99,30487,1562,4188,5,AAA Batter
141265,Apple Airpods Headphones,1,150.0,2019-01-01 16:52:00,January,150.0,15383,798,2057,6,Apple Airp
149793,Lightning Charging Cable,2,14.95,2019-01-01 16:53:00,January,29.9,22841,1132,3052,12,Lightning 
147102,Lightning Charging Cable,1,14.95,2019-01-01 16:59:00,January,14.95,22841,1132,3052,12,Lightning 
145416,Lightning Charging Cable,1,14.95,2019-01-01 16:59:00,January,14.95,22841,1132,3052,12,Lightning 
150087,Macbook Pro Laptop,1,1700.0,2019-01-01 17:02:00,January,1700.0,4645,233,636,13,Macbook Pr
147685,AAA Batteries (4-pack),4,2.99,2019-01-01 17:04:00,January,11.96,30487,1562,4188,5,AAA Batter
144864,Apple Airpods Headphones,1,150.0,2019-01-01 17:05:00,January,150.0,15383,798,2057,6,Apple Airp
143384,Lightning Charging Cable,1,14.95,2019-01-01 17:13:00,January,14.95,22841,1132,3052,12,Lightning 
144368,Apple Airpods Headphones,1,150.0,2019-01-01 17:17:00,January,150.0,15383,798,2057,6,Apple Airp
148083,Wired Headphones,1,11.99,2019-01-01 17:19:00,January,11.99,20201,1057,2714,17,Wired Head
147592,iPhone,1,700.0,2019-01-01 17:30:00,January,700.0,6732,372,895,18,iPhone
141596,Lightning Charging Cable,1,14.95,2019-01-01 17:30:00,January,14.95,22841,1132,3052,12,Lightning 
148130,AAA Batteries (4-pack),3,2.99,2019-01-01 17:36:00,January,8.97,30487,1562,4188,5,AAA Batter
146775,Lightning Charging Cable,1,14.95,2019-01-01 17:40:00,January,14.95,22841,1132,3052,12,Lightning 
148442,AA Batteries (4-pack),2,3.84,2019-01-01 17:45:00,January,7.68,27148,1398,3672,4,AA Batteri
142063,AAA Batteries (4-pack),1,2.99,2019-01-01 17:45:00,January,2.99,30487,1562,4188,5,AAA Batter
148705,Macbook Pro Laptop,1,1700.0,2019-01-01 17:52:00,January,1700.0,4645,233,636,13,Macbook Pr
149676,Flatscreen TV,1,300.0,2019-01-01 17:53:00,January,300.0,4724,240,657,8,Flatscreen
147744,Bose SoundSport Headphones,1,99.99,2019-01-01 17:55:00,January,99.99,13236,644,1807,7,Bose Sound
144252,Wired Headphones,1,11.99,2019-01-01 17:56:00,January,11.99,20201,1057,2714,17,Wired Head
149546,Bose SoundSport Headphones,1,99.99,2019-01-01 17:57:00,January,99.99,13236,644,1807,7,Bose Sound
149546,AA Batteries (4-pack),1,3.84,2019-01-01 17:57:00,January,3.84,27148,1398,3672,4,AA Batteri
147619,AA Batteries (4-pack),1,3.84,2019-01-01 17:57:00,January,3.84,27148,1398,3672,4,AA Batteri
148600,Bose SoundSport Headphones,1,99.99,2019-01-01 18:02:00,January,99.99,13236,644,1807,7,Bose Sound
144868,AA Batteries (4-pack),1,3.84,2019-01-01 18:03:00,January,3.84,27148,1398,3672,4,AA Batteri
144158,Vareebadd Phone,1,400.0,2019-01-01 18:04:00,January,400.0,2023,124,279,16,Vareebadd 
143131,Apple Airpods Headphones,1,150.0,2019-01-01 18:07:00,January,150.0,15383,798,2057,6,Apple Airp
146908,AAA Batteries (4-pack),1,2.99,2019-01-01 18:09:00,January,2.99,30487,1562,4188,5,AAA Batter
147689,AA Batteries (4-pack),1,3.84,2019-01-01 18:09:00,January,3.84,27148,1398,3672,4,AA Batteri
142345,AAA Batteries (4-pack),2,2.99,2019-01-01 18:11:00,January,5.98,30487,1562,4188,5,AAA Batter
142574,USB-C Charging Cable,1,11.95,2019-01-01 18:17:00,January,11.95,23555,1265,3200,15,USB-C Char
146446,Wired Headphones,3,11.99,2019-01-01 18:20:00,January,35.97,20201,1057,2714,17,Wired Head
146305,Lightning Charging Cable,1,14.95,2019-01-01 18:25:00,January,14.95,22841,1132,3052,12,Lightning 
146471,USB-C Charging Cable,1,11.95,2019-01-01 18:29:00,January,11.95,23555,1265,3200,15,USB-C Char
146471,Wired Headphones,1,11.99,2019-01-01 18:29:00,January,11.99,20201,1057,2714,17,Wired Head
149332,Apple Airpods Headphones,1,150.0,2019-01-01 18:30:00,January,150.0,15383,798,2057,6,Apple Airp
146703,USB-C Charging Cable,2,11.95,2019-01-01 18:31:00,January,23.9,23555,1265,3200,15,USB-C Char
148854,Apple Airpods Headphones,1,150.0,2019-01-01 18:31:00,January,150.0,15383,798,2057,6,Apple Airp
143099,Wired Headphones,1,11.99,2019-01-01 18:34:00,January,11.99,20201,1057,2714,17,Wired Head
149564,Macbook Pro Laptop,1,1700.0,2019-01-01 18:39:00,January,1700.0,4645,233,636,13,Macbook Pr
143202,ThinkPad Laptop,1,999.99,2019-01-01 18:39:00,January,999.99,4054,214,531,14,ThinkPad L
145820,iPhone,1,700.0,2019-01-01 18:41:00,January,700.0,6732,372,895,18,iPhone
144587,Lightning Charging Cable,1,14.95,2019-01-01 18:44:00,January,14.95,22841,1132,3052,12,Lightning 
149001,ThinkPad Laptop,1,999.99,2019-01-01 18:49:00,January,999.99,4054,214,531,14,ThinkPad L
146955,AA Batteries (4-pack),1,3.84,2019-01-01 18:51:00,January,3.84,27148,1398,3672,4,AA Batteri
144856,27in 4K Gaming Monitor,1,389.99,2019-01-01 18:53:00,January,389.99,6134,308,851,1,27in 4K Ga
150230,34in Ultrawide Monitor,1,379.99,2019-01-01 18:55:00,January,379.99,6076,305,842,3,34in Ultra
147726,34in Ultrawide Monitor,1,379.99,2019-01-01 18:56:00,January,379.99,6076,305,842,3,34in Ultra
145519,34in Ultrawide Monitor,1,379.99,2019-01-01 18:57:00,January,379.99,6076,305,842,3,34in Ultra
142994,Lightning Charging Cable,1,14.95,2019-01-01 19:00:00,January,14.95,22841,1132,3052,12,Lightning 
142910,AAA Batteries (4-pack),1,2.99,2019-01-01 19:00:00,January,2.99,30487,1562,4188,5,AAA Batter
148016,AAA Batteries (4-pack),1,2.99,2019-01-01 19:03:00,January,2.99,30487,1562,4188,5,AAA Batter
147631,Google Phone,1,600.0,2019-01-01 19:07:00,January,600.0,5440,312,706,9,Google Pho
150023,AAA Batteries (4-pack),2,2.99,2019-01-01 19:11:00,January,5.98,30487,1562,4188,5,AAA Batter
148447,AAA Batteries (4-pack),1,2.99,2019-01-01 19:16:00,January,2.99,30487,1562,4188,5,AAA Batter
146388,Bose SoundSport Headphones,1,99.99,2019-01-01 19:16:00,January,99.99,13236,644,1807,7,Bose Sound
146913,Lightning Charging Cable,1,14.95,2019-01-01 19:17:00,January,14.95,22841,1132,3052,12,Lightning 
144581,AA Batteries (4-pack),1,3.84,2019-01-01 19:20:00,January,3.84,27148,1398,3672,4,AA Batteri
147133,AAA Batteries (4-pack),1,2.99,2019-01-01 19:30:00,January,2.99,30487,1562,4188,5,AAA Batter
142525,AAA Batteries (4-pack),2,2.99,2019-01-01 19:47:00,January,5.98,30487,1562,4188,5,AAA Batter
141991,AAA Batteries (4-pack),2,2.99,2019-01-01 19:51:00,January,5.98,30487,1562,4188,5,AAA Batter
141950,AAA Batteries (4-pack),1,2.99,2019-01-01 19:54:00,January,2.99,30487,1562,4188,5,AAA Batter
144346,AA Batteries (4-pack),1,3.84,2019-01-01 19:56:00,January,3.84,27148,1398,3672,4,AA Batteri
143732,Macbook Pro Laptop,1,1700.0,2019-01-01 20:04:00,January,1700.0,4645,233,636,13,Macbook Pr
141789,USB-C Charging Cable,2,11.95,2019-01-01 20:13:00,January,23.9,23555,1265,3200,15,USB-C Char
141789,Google Phone,1,600.0,2019-01-01 20:13:00,January,600.0,5440,312,706,9,Google Pho
144305,USB-C Charging Cable,1,11.95,2019-01-01 20:13:00,January,11.95,23555,1265,3200,15,USB-C Char
146845,USB-C Charging Cable,2,11.95,2019-01-01 20:22:00,January,23.9,23555,1265,3200,15,USB-C Char
